name,group
YER082C,473
YER083C,464
YER084W,474
YER093C,473
YER095W,475
YER096W,476
YER099C,477
YER102W,478
YER103W,479
YER104W,456
YER105C,473
YER107C,450
YER111C,68
YER113C,66
YER114C,106
YER117W,471
YER118C,480
YER119C,481
YER121W,14
YER123W,268
YER124C,482
YER128W,483
YER129W,469
YER131W,484
YER132C,485
YER137C,151
YER138C,486
YER139C,231
YER140W,203
YER141W,182
YER142C,121
YER143W,461
YER147C,487
YER148W,488
YER150W,489
YER152C,490
YER155C,473
YER160C,486
YER166W,69
YER168C,415
YER170W,491
YER171W,357
YER172C,440
YER174C,492
YER175C,493
YER179W,494
YER187W,495
YER188W,496
YER189W,13
YER190W,68
YFL001W,497
YFL005W,214
YFL006W,498
YFL007W,103
YFL008W,44
YFL014W,221
YFL016C,428
YFL018C,499
YFL022C,416
YFL030W,500
YFL032W,140
YFL036W,400
YFL039C,501
YFL043C,502
YFL044C,291
YFL048C,451
YFL054C,396
YFL056C,503
YFL057C,3
YFL058W,93
YFL059W,36
YFL060C,138
YFL064C,42
YFL065C,42
YFL067W,504
YFR003C,18
YFR008W,481
YFR015C,395
YFR017C,257
YFR019W,195
YFR020W,505
YFR023W,140
YFR024C,31
YFR026C,36
YFR027W,136
YFR030W,467
YFR032C,151
YFR035C,247
YFR041C,506
YFR053C,507
YFR055W,493
YFR056C,493
YGL006W,397
YGL010W,130
YGL013C,508
YGL016W,509
YGL021W,165
YGL025C,140
YGL028C,510
YGL032C,511
YGL037C,512
YGL039W,140
YGL053W,513
YGL055W,93
YGL060W,514
YGL061C,208
YGL062W,515
YGL063W,155
YGL075C,307
YGL081W,146
YGL085W,516
YGL088W,135
YGL089C,28
YGL090W,202
YGL093W,343
YGL096W,14
YGL099W,124
YGL101W,141
YGL102C,444
YGL104C,517
YGL106W,113
YGL112C,518
YGL116W,126
YGL117W,382
YGL121C,65
YGL125W,519
YGL126W,520
YGL127C,521
YGL128C,522
YGL129C,453
YGL130W,492
YGL131C,523
YGL141W,524
YGL144C,525
YGL151W,365
YGL155W,190
YGL156W,526
YGL160W,0
YGL166W,140
YGL170C,527
YGL179C,224
YGL181W,528
YGL184C,529
YGL187C,87
YGL188C,28
YGL196W,239
YGL197W,530
YGL201C,73
YGL204C,54
YGL208W,268
YGL209W,154
YGL211W,217
YGL214W,415
YGL218W,177
YGL219C,241
YGL227W,531
YGL229C,532
YGL230C,533
YGL232W,534
YGL234W,240
YGL236C,245
YGL246C,535
YGL248W,536
YGL249W,489
YGL250W,294
YGL255W,165
YGL262W,537
YGR002C,415
YGR008C,300
YGR010W,538
YGR014W,343
YGR019W,502
YGR023W,539
YGR029W,407
YGR032W,211
YGR035C,324
YGR039W,65
YGR041W,540
YGR042W,42
YGR043C,161
YGR044C,301
YGR049W,257
YGR053C,121
YGR055W,330
YGR058W,94
YGR065C,271
YGR068C,192
YGR070W,170
YGR082W,250
YGR083C,541
YGR088W,251
YGR089W,298
YGR090W,542
YGR092W,126
YGR098C,292
YGR099W,197
YGR100W,536
YGR104C,255
YGR105W,543
YGR108W,544
YGR109C,81
YGR112W,344
YGR113W,545
YGR114C,546
YGR118W,444
YGR122W,196
YGR129W,294
YGR131W,211
YGR138C,522
YGR140W,462
YGR142W,547
YGR143W,548
YGR146C,489
YGR149W,271
YGR150C,311
YGR151C,136
YGR152C,44
YGR153W,297
YGR154C,549
YGR159C,214
YGR162W,542
YGR164W,550
YGR169C,551
YGR180C,549
YGR187C,306
YGR188C,208
YGR189C,287
YGR190C,552
YGR194C,553
YGR197C,492
YGR200C,320
YGR206W,534
YGR207C,554
YGR212W,279
YGR214W,555
YGR216C,207
YGR221C,496
YGR230W,556
YGR238C,307
YGR239C,557
YGR243W,395
YGR245C,200
YGR249W,558
YGR259C,552
YGR263C,479
YGR265W,559
YGR268C,560
YGR271W,489
YGR275W,297
YGR286C,305
YGR288W,435
YGR289C,307
YHL001W,478
YHL007C,561
YHL013C,448
YHL017W,562
YHL021C,428
YHL023C,560
YHL024W,563
YHL026C,556
YHL028W,165
YHL035C,515
YHL036W,564
YHL039W,565
YHL042W,558
YHL043W,160
YHL044W,566
YHL049C,78
YHR001W,192
YHR002W,271
YHR004C,567
YHR005C,133
YHR009C,557
YHR012W,549
YHR013C,565
YHR014W,151
YHR015W,568
YHR016C,569
YHR018C,454
YHR022C,570
YHR023W,126
YHR029C,571
YHR031C,56
YHR037W,572
YHR039C,573
YHR041C,487
YHR044C,574
YHR048W,379
YHR049C-A,28
YHR050W,514
YHR061C,314
YHR062C,306
YHR067W,311
YHR069C,188
YHR073W,575
YHR079C,229
YHR086W,576
YHR092C,577
YHR094C,30
YHR097C,40
YHR099W,541
YHR101C,323
YHR102W,436
YHR104W,311
YHR110W,81
YHR111W,578
YHR112C,269
YHR113W,521
YHR123W,537
YHR129C,545
YHR136C,191
YHR137W,235
YHR141C,280
YHR143W,482
YHR147C,427
YHR151C,126
YHR153C,43
