name,group
YDL169C,1
YDL174C,47
YDL175C,1
YDL179W,67
YDL181W,5
YDL182W,2
YDL186W,0
YDL187C,1
YDL189W,29
YDL191W,2
YDL192W,2
YDL197C,6
YDL198C,46
YDL199C,1
YDL202W,5
YDL204W,1
YDL205C,1
YDL206W,78
YDL208W,2
YDL210W,1
YDL211C,5
YDL215C,5
YDL216C,1
YDL219W,1
YDL221W,1
YDL222C,118
YDL227C,5
YDL228C,2
YDL229W,
YDL230W,6
YDL231C,5
YDL232W,1
YDL233W,1
YDL234C,1
YDL239C,1
YDL240W,119
YDL242W,5
YDL243C,4
YDL244W,4
YDL245C,0
YDL246C,1
YDL247W,1
YDL248W,0
YDR004W,5
YDR006C,5
YDR009W,1
YDR011W,1
YDR012W,2
YDR013W,4
YDR014W,1
YDR016C,46
YDR017C,5
YDR018C,1
YDR019C,6
YDR020C,5
YDR022C,1
YDR025W,
YDR029W,1
YDR033W,2
YDR035W,5
YDR038C,1
YDR039C,
YDR042C,5
YDR044W,5
YDR045C,4
YDR046C,1
YDR048C,1
YDR050C,2
YDR055W,67
YDR057W,78
YDR058C,3
YDR059C,1
YDR060W,1
YDR064W,2
YDR065W,1
YDR070C,77
YDR071C,
YDR074W,0
YDR076W,0
YDR079W,5
YDR080W,1
YDR082W,29
YDR083W,1
YDR085C,0
YDR091C,1
YDR094W,5
YDR097C,6
YDR098C,5
YDR103W,0
YDR104C,1
YDR105C,1
YDR108W,5
YDR109C,50
YDR111C,1
YDR112W,1
YDR113C,35
YDR114C,0
YDR116C,1
YDR118W,1
YDR120C,1
YDR121W,1
YDR122W,0
YDR126W,128
YDR130C,1
YDR132C,5
YDR133C,1
YDR134C,5
YDR141C,5
YDR142C,84
YDR143C,84
YDR146C,5
YDR148C,0
YDR149C,1
YDR150W,1
YDR151C,1
YDR152W,1
YDR154C,7
YDR155C,7
YDR156W,5
YDR157W,5
YDR158W,34
YDR160W,5
YDR162C,1
YDR165W,7
YDR168W,0
YDR169C,1
YDR170C,1
YDR171W,1
YDR172W,5
YDR173C,1
YDR178W,0
YDR180W,4
YDR181C,1
YDR183W,1
YDR184C,1
YDR185C,4
YDR187C,1
YDR188W,1
YDR191W,0
YDR193W,1
YDR194C,1
YDR195W,5
YDR197W,1
YDR198C,50
YDR202C,0
YDR203W,0
YDR204W,4
YDR206W,1
YDR207C,5
YDR210W,1
YDR211W,5
YDR212W,5
YDR213W,1
YDR214W,3
YDR216W,0
YDR218C,4
YDR219C,1
YDR222W,1
YDR223W,114
YDR224C,5
YDR225W,5
YDR227W,0
YDR230W,1
YDR231C,0
YDR234W,1
YDR235W,1
YDR236C,1
YDR240C,1
YDR241W,0
YDR244W,1
YDR246W,1
YDR247W,1
YDR249C,5
YDR252W,1
YDR253C,1
YDR254W,1
YDR255C,1
YDR256C,1
YDR257C,8
YDR258C,1
YDR259C,1
YDR260C,5
YDR262W,1
YDR263C,5
YDR270W,0
YDR271C,0
YDR272W,
YDR273W,1
YDR274C,23
YDR275W,1
YDR276C,34
YDR277C,0
YDR279W,5
YDR281C,1
YDR282C,0
YDR284C,46
YDR286C,4
YDR287W,4
YDR288W,1
YDR289C,5
YDR294C,0
YDR295C,1
YDR296W,5
YDR297W,1
YDR299W,1
YDR300C,1
YDR301W,1
YDR302W,51
YDR305C,1
YDR309C,5
YDR311W,51
YDR312W,1
YDR313C,1
YDR314C,1
YDR316W,1
YDR321W,27
YDR322W,1
YDR323C,1
YDR324C,1
YDR325W,5
YDR326C,5
YDR327W,1
YDR329C,
YDR330W,0
YDR331W,0
YDR336W,1
YDR337W,1
YDR338C,1
YDR339C,5
YDR342C,0
YDR343C,1
YDR345C,0
YDR347W,1
YDR350C,1
YDR351W,1
YDR352W,1
YDR353W,2
YDR356W,1
YDR357C,1
YDR358W,0
YDR361C,5
YDR362C,1
YDR363W,1
YDR364C,1
YDR365C,5
YDR366C,1
YDR369C,0
YDR371W,0
YDR373W,1
YDR374C,1
YDR375C,1
YDR378C,5
YDR379W,1
YDR380W,1
YDR381W,2
YDR382W,2
YDR383C,0
YDR384C,24
YDR385W,1
YDR386W,1
YDR387C,0
YDR388W,4
YDR389W,1
YDR390C,119
YDR391C,47
YDR392W,
YDR394W,1
YDR400W,5
YDR401W,1
YDR403W,1
YDR405W,1
YDR409W,1
YDR411C,1
YDR413C,1
YDR414C,1
YDR415C,1
YDR416W,1
YDR417C,2
YDR418W,2
YDR419W,1
YDR421W,0
YDR423C,0
YDR424C,1
YDR425W,
YDR428C,1
YDR430C,1
YDR432W,5
YDR433W,
YDR435C,0
YDR436W,0
YDR438W,1
YDR440W,1
YDR441C,5
YDR443C,1
YDR444W,1
YDR447C,2
YDR448W,0
YDR449C,1
YDR450W,2
YDR451C,1
YDR453C,1
YDR456W,1
YDR457W,1
YDR461W,1
YDR464W,1
YDR465C,1
YDR466W,1
YDR469W,1
YDR470C,1
YDR471W,
YDR473C,0
YDR476C,1
YDR477W,1
YDR478W,
YDR479C,1
YDR485C,1
YDR487C,1
YDR488C,1
YDR489W,5
YDR490C,1
YDR491C,5
YDR492W,1
YDR493W,0
YDR494W,0
YDR495C,0
YDR499W,0
YDR500C,1
YDR501W,6
YDR503C,
YDR504C,1
YDR505C,1
YDR506C,0
YDR507C,1
YDR511W,64
YDR512C,1
YDR513W,1
YDR514C,1
YDR516C,1
YDR517W,1
YDR518W,1
YDR519W,1
YDR521W,0
YDR523C,1
YDR524C,1
YDR525W,1
YDR526C,1
YDR527W,1
YDR528W,1
YDR529C,1
YDR530C,0
YDR531W,1
YDR532C,1
YDR537C,6
YDR538W,1
YDR539W,1
YDR540C,1
YDR541C,1
YDR542W,
YDR543C,1
YDR544C,1
YDR545W,1
YEL003W,1
